title_term,title_df,title_cf,title_idf
固,1,1,2.397940008672037
梦,1,1,2.397940008672037
渔,1,1,2.397940008672037
登,13,13,1.2839966563652008
暝,1,1,2.397940008672037
青,3,3,1.9208187539523751
源,1,1,2.397940008672037
客,2,2,2.0969100130080562
入,1,1,2.397940008672037
丘,1,2,2.397940008672037
府,6,7,1.6197887582883939
坡,1,1,2.397940008672037
玉,2,2,2.0969100130080562
讽,1,1,2.397940008672037
·,2,2,2.0969100130080562
原,3,3,1.9208187539523751
闲,1,1,2.397940008672037
官,3,3,1.9208187539523751
綦,1,1,2.397940008672037
莫,1,1,2.397940008672037
五,3,3,1.9208187539523751
降,1,1,2.397940008672037
春,12,12,1.3187587626244126
凉,4,4,1.7958800173440752
诗,2,2,2.0969100130080562
儿,1,1,2.397940008672037
瑟,2,2,2.0969100130080562
舒,1,1,2.397940008672037
琴,1,1,2.397940008672037
纶,1,1,2.397940008672037
剑,1,1,2.397940008672037
太,1,1,2.397940008672037
万,2,2,2.0969100130080562
人,16,17,1.1938200260161127
兼,1,1,2.397940008672037
椒,1,1,2.397940008672037
吴,2,2,2.0969100130080562
章,1,1,2.397940008672037
寻,4,4,1.7958800173440752
偶,1,1,2.397940008672037
香,1,1,2.397940008672037
旅,2,2,2.0969100130080562
辛,2,2,2.0969100130080562
落,2,2,2.0969100130080562
广,2,2,2.0969100130080562
建,1,1,2.397940008672037
佳,1,1,2.397940008672037
老,1,1,2.397940008672037
兴,1,1,2.397940008672037
来,1,1,2.397940008672037
叹,1,1,2.397940008672037
苏,1,1,2.397940008672037
芙,1,1,2.397940008672037
眺,1,1,2.397940008672037
中,6,6,1.6197887582883939
家,1,1,2.397940008672037
感,2,2,2.0969100130080562
